index,SMILES,new_SMILES
5892,CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CC(N)=O)NC(C)=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(N)=O)C(N)=O,CCC(C)C(NC(=O)C(C)NC(=O)C(CC(N)=O)NC(=O)C(CO)NC(=O)C(CC(N)=O)NC(C)=O)C(=O)NC(CCCCN)C(=O)NC(CC(N)=O)C(N)=O
5893,CSCC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H](N)CCCCN)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)[C@@H](C)O,CSCCC(NC(=O)C(CCC(=O)O)NC(=O)C(Cc1c[nH]cn1)NC(=O)C(N)CCCCN)C(=O)NC(C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(Cc1ccccc1)C(=O)O)C(C)O
5894,C[C@H](N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H](C(=O)N[C@@H](CCCC[NH+](C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)O)[C@@H](C)O)[C@@H](C)O)[C@@H](C)O,CC(N)C(=O)NC(CCCN=C(N)N)C(=O)NC(C(=O)NC(CCCCN(C)C)C(=O)NC(CCC(N)=O)C(=O)NC(C(=O)NC(C)C(=O)NC(CCCN=C(N)N)C(=O)NC(CCCCN)C(=O)NC(CO)C(=O)NC(C(=O)O)C(C)O)C(C)O)C(C)O
5895,N=c1[nH]c(=O)c2ncn(CCCCCCP(=O)(O)O)c2[nH]1,N=c1[nH]c(=O)c2ncn(CCCCCCP(=O)(O)O)c2[nH]1
5896,O=C(O)[C@H]1[C@H]2CC[C@H](CC2)[C@@H]1Nc1nc(-c2c[nH]c3ncc(F)cc23)ncc1F,O=C(O)C1C2CCC(CC2)C1Nc1nc(-c2c[nH]c3ncc(F)cc23)ncc1F
5897,O=C(Nc1nc(-c2ccccc2)cs1)c1ccccc1Cl,O=C(Nc1nc(-c2ccccc2)cs1)c1ccccc1Cl
5898,CCCCCCCCCCCCCCC[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)NC(=O)CCCCCCC,CCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCC
5900,Cc1nc(COc2ccc(C[C@H](NC(=O)O[C@H]3CO[C@H]4OCC[C@@H]34)[C@H](O)CN(CC(C)C)S(=O)(=O)c3ccc4c(c3)OCO4)cc2)cs1,Cc1nc(COc2ccc(CC(NC(=O)OC3COC4OCCC34)C(O)CN(CC(C)C)S(=O)(=O)c3ccc4c(c3)OCO4)cc2)cs1
5901,CC(=O)N1CCN(C(=O)Cc2ccc(Nc3ncc(F)c(Nc4ccc(C(=O)Nc5ccccc5Cl)cc4)n3)cc2)CC1,CC(=O)N1CCN(C(=O)Cc2ccc(Nc3ncc(F)c(Nc4ccc(C(=O)Nc5ccccc5Cl)cc4)n3)cc2)CC1
5902,Cc1ccc(S(=O)(=O)NC(=O)Nc2ncc(Br)s2)cc1,Cc1ccc(S(=O)(=O)NC(=O)Nc2ncc(Br)s2)cc1
5903,CSCC[C@H](NC(=O)CNC(=O)[C@H](C)NC(=O)[C@@H](N)CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)O)[C@@H](C)O,CSCCC(NC(=O)CNC(=O)C(C)NC(=O)C(N)CCC(=O)O)C(=O)NC(C(=O)NC(CC(C)C)C(=O)NCC(=O)NC(C)C(=O)NC(CCCN=C(N)N)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NCC(=O)O)C(C)O
5904,Nc1ncc(Cc2ccccc2)s1,Nc1ncc(Cc2ccccc2)s1
5905,O/N=C/C1=CCC=CN1CCCCCCCN1C=CC=C[C@H]1/C=N/O,ON=CC1=CCC=CN1CCCCCCCN1C=CC=CC1C=NO
5906,O=C1Nc2ccc3ncsc3c2/C1=C/c1cnc[nH]1,O=C1Nc2ccc3ncsc3c2C1=Cc1cnc[nH]1
5907,CCO[C@@H](Cc1ccc(OCc2csc(-c3ccc(Cl)cc3)n2)cc1C)C(=O)O,CCOC(Cc1ccc(OCc2csc(-c3ccc(Cl)cc3)n2)cc1C)C(=O)O
5908,Nc1nc2[nH]ccc2c(=O)[nH]1,Nc1nc2[nH]ccc2c(=O)[nH]1
