DrugBank ID,SMILES,Ro5,bRo5,eRo5
DB00224,CC(C)(C)NC(=O)[C@@H]1CN(CC2=CN=CC=C2)CCN1C[C@@H](O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]1[C@H](O)CC2=CC=CC=C12,False,False,True
DB00226,NC(N)=NCC1COC2(CCCCC2)O1,True,False,False
DB00227,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,True,False,False
DB00228,FC(F)OC(F)(F)C(F)Cl,True,False,False
DB00229,[H][C@]12SCC(CSC3=NN=NN3CCN(C)C)=C(N1C(=O)[C@H]2NC(=O)CC1=CSC(N)=N1)C(O)=O,False,True,False
DB00230,CC(C)C[C@H](CN)CC(O)=O,True,False,False
DB00231,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,True,False,False
DB00232,CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O,True,False,False
DB00233,NC1=CC(O)=C(C=C1)C(O)=O,True,False,False
DB00234,[H][C@@](OC1=CC=CC=C1OCC)(C1=CC=CC=C1)[C@@]1([H])CNCCO1,True,False,False
DB00235,CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1,True,False,False
DB00236,BrCCC(=O)N1CCN(CC1)C(=O)CCBr,True,False,False
DB00237,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,True,False,False
DB00238,CC1=C2NC(=O)C3=C(N=CC=C3)N(C3CC3)C2=NC=C1,True,False,False
DB00239,ClC1=CC(Cl)=C(CO\N=C(/CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1,False,False,False
DB00240,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C,True,False,False
DB00241,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,True,False,False
DB00242,NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1,False,False,False
DB00243,COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1,True,False,False
DB00244,NC1=CC(C(O)=O)=C(O)C=C1,True,False,False
DB00245,[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C,True,False,False
DB00246,ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1,True,False,False
DB00247,[H][C@@]12CC3=CN(C)C4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)NC(CC)CO,True,False,False
DB00248,[H][C@@]12CC3=CNC4=CC=CC(=C34)[C@@]1([H])C[C@H](CN2CC=C)C(=O)N(CCCN(C)C)C(=O)NCC,True,False,False
DB00249,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O,False,False,False
DB00250,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,True,False,False
DB00251,CC(C)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1,False,False,True
DB00252,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,True,False,False
DB00253,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C,True,False,False
DB00254,[H][C@@]12[C@@H](C)C3=CC=CC(O)=C3C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O,False,False,False
DB00255,CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,True,False,False
DB00256,[H][C@@]12C[C@@]3([H])C(C(=O)C4=C(O)C=CC=C4[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(=O)NCNCCCC[C@H](N)C(O)=O)=C(O)[C@H]2N(C)C,False,True,False
DB00257,ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1,False,False,False
DB00258,[Ca++].CC([O-])=O.CC([O-])=O,True,False,False
DB00259,NC1=CC=C(C=C1)S(N)(=O)=O,False,False,False
DB00260,N[C@@H]1CONC1=O,False,False,False
DB00261,ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl,True,False,False
DB00262,ClCCNC(=O)N(CCCl)N=O,True,False,False
DB00263,CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C,True,False,False
DB00264,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,True,False,False
DB00265,CCN(C(=O)C=CC)C1=CC=CC=C1C,True,False,False
DB00266,OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=C1C=CC=C2,True,False,False
